location	text	user_id	weibo_created_at
[39.67844, 116.109924]	也许生活就像一本掉了页的黄历，没有人会把它粘好并一页一页的回忆。 我在:http://t.cn/zRGaM7d	3831865214.0	Fri Oct 11 22:08:28 +0800 2013
[39.678471, 116.152649]	今夜到明天白天有点想你，预计下午将持续想你，受延长低情绪影响，傍晚将转为大到暴想，心情由此将降低五度，预计此类天气将持续到见到你为止。@Sandy-英俊哥 米修 搜麻奇〜〜[亲亲][亲亲][亲亲] 幸好还有酸龟龟陪我[悲伤] 我在:http://t.cn/zRG9LQA	1807783837.0	Fri Oct 11 23:31:07 +0800 2013
[39.676922, 116.29393]	[抓狂][抓狂]像跟个定时炸弹聊天[衰][衰][衰] 我在这里:http://t.cn/z8A4AnU	1956664793.0	Fri Oct 11 23:54:47 +0800 2013
[39.688078, 116.31154]	【垂直电商低成本运营的三路九招】中国垂直电商逐步开始从规模导向转为利润导向。电商都在节衣缩食，首当其冲就是对营销费用也精打细算。第一路：流量导入第二路：用户互动第三路：资源整合…下图为您呈现三路九招式低成本运行。 我在:http://t.cn/zRGKdx5	1829456205.0	Fri Oct 11 23:24:48 +0800 2013
[39.672878, 116.349967]	我用#智行火车票#,成功秒杀10月08日北京西-广州东的硬座。http://t.cn/zHeqZgx 我在:http://t.cn/zRGbQHP	2608975765.0	Fri Oct 11 16:46:37 +0800 2013
[39.680976, 116.379974]	我们都有看不开的时候，总有冷落自己的举动，但是我我一定会提醒自己，如果还有明天，我们都有伤心的时候，总不在乎这种感受，但是我会提醒自己珍惜每次感动……   如果还有明天…… 如果没有明天……《如果还有明天》 我在:http://t.cn/zRZ3r5T	1272116102.0	Fri Oct 11 10:24:08 +0800 2013
[39.679829, 116.411575]	翻了翻以前的照片，想了想以前的事儿。笑过哭过，吵过闹过，爱过恨过。其实，挺美好的，曾经，有………。就这样，让它美好下去吧。 我在:http://t.cn/zRGoeNa	1778406001.0	Fri Oct 11 23:02:33 +0800 2013
[39.690158, 116.434608]	【#易迅免费送iphone5c#】免费iphone5c来啦，易迅无线惊喜无限，iphone5c免费送，红米购买权免费抽，总有一款适合你！小伙们速度来试下运气！今天，你的人品爆发了没！http://t.cn/z8sfxIk 我在:http://t.cn/zRGzLAY	1856766374.0	Fri Oct 11 13:25:37 +0800 2013
[39.674751, 116.520447]	[爱你]王诗龄和kimi。。。有没有口水流干了死翘的啊[可怜]我快了 我在这里:http://t.cn/z8A4ylE	1251196110.0	Fri Oct 11 23:38:48 +0800 2013
[39.676391, 116.527824]	不行了≪爸爸去哪儿≫这节目看不下去了。。。超想生孩子。我先歪沙发里假装睡着了听一耳朵吧[抓狂]好喜欢王诗龄和kimi 我在:http://t.cn/zRGS6Vx	1251196110.0	Fri Oct 11 22:30:16 +0800 2013
[39.68469, 116.59311]	十天培训结束第一天进组上班感觉好压抑，以后下班早不了，感觉干不长呀 我在这里:http://t.cn/z8AxVd7	3654860175.0	Fri Oct 11 19:03:36 +0800 2013
[39.681248, 116.697321]	我正在搜狗手机输入法的“超级键手”比赛中抽奖，大奖拿到手软，快来试试手气！http://t.cn/zRbhBdA 我在:http://t.cn/zRGJCPR	3762676282.0	Fri Oct 11 20:49:08 +0800 2013
[39.686523, 116.71228]	#s北京演唱会#刘德华北京开唱啦。月底，30 31 1 2开演！ http://t.cn/zRhgZzI 我在:http://t.cn/zRG7vxx	3795479212.0	Fri Oct 11 12:41:54 +0800 2013
[39.678871, 116.739037]	母爱的伟大，总是默默的付出，不徒回报。今天看到我家爱爱母子突然有感而发 我在:http://t.cn/zRbDmcl	3764038493.0	Fri Oct 11 10:32:16 +0800 2013
